Sample,Sample No,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
20220120_JLW76-A1 - 7,JLW76,2.411926245,5.858450567,7.877810909,4.122264274,12.64515971,0.056155954,0.029063234,0.843425639,0.060954211,0.017202732,0.03549684,0.066107346
20220120_JLW76-A1 - 8,JLW76,8.588476498,18.30157065,9.062648676,4.936747461,56.21829851,0.196106256,0.027146986,0.807282285,0.112357101,0.95402629,0.017827934,1.314829239
20220120_JLW76-A1 - 9,JLW76,22.83081711,45.98397596,42.6082041,4.646715372,301.5199501,1.251412604,0.076247125,1.338619012,0.091967894,0.048080758,0.056566982,7.202572488
20220120_JLW76-A2 - 2,JLW76,45.15003042,227.5858973,158.9436829,3.23144156,14089.59171,43.92659367,0.52406953,11.0351211,0.078217403,0.013394335,0.076003958,46.82429803
20220120_JLW76-A2 - 3,JLW76,26.3492049,64.63827084,85.95810017,2.083693366,302.7776242,1.696960435,0.41340966,5.583110149,0.034576936,0.309239521,0.133925582,13.77083216
20220120_JLW76-A2 - 4,JLW76,13.30667872,31.38210971,31.31766505,6.448825147,94.50087878,0.834490738,0.122116822,1.300073084,0.028384683,0.144653684,0.026825466,5.01700145
20220120_JLW76-A2 - 5,JLW76,6.24269754,14.12389276,13.60919756,3.02869382,107.1466873,0.397451487,0.028823048,0.438504821,0.126154252,0.853322088,0.032282684,1.955001573
20220120_JLW76-A2 - 6,JLW76,0.392403311,0.700054782,0.827265995,1.735555431,0.798244173,0.019379781,0.010689589,0.098379091,0.026475705,0.018822204,0.00498963,0.040257874
20220120_JLW76-A2 - 7,JLW76,10.76752904,18.00057673,13.7155074,7.06520422,103.5582899,1.016743499,0.013090224,1.183241577,0.163814142,0.035227058,0.052078344,2.610434181
20220120_JLW76-A2 - 8,JLW76,10.8953643,23.99409243,24.87490824,5.741338647,290.5971202,0.921625505,0.084162526,0.63294148,0.061505522,0.011967773,0.047222848,2.045555068
20220120_JLW76-A2 - 9,JLW76,5.362155253,23.48285468,73.31129566,6.869319393,35.59948556,0.404144736,0.099277728,1.315408528,0.062481448,0.033755443,0.061121963,2.916368101
